ID,Comments
1,"little, light"
2,The battery power is great.
3,cost and size
4,Having all my CDs in the palm of my hand!
5,The shuffle mode.
6,Battery life. Portability. Accessories. Style.
7,I like its ability to store all of my music. I also like the ability to create playlists.
8,"portability, capacity, sound quality, durability"
9,"Small, great sound, capacity."
10,Able to hold all of my songs in one place.
11,It's portable! I can take it anywhere.
12,Living in my own little world
13,mobility
14,"I like that Product A has a lot of storage. Also, the interface is very easy to use."
15,It holds a ton of music.
16,It's fun to use
17,its cool
18,lots of disk space
19,Others think it is cool and it sounds great.
20,lightweight
21,easy to use
22,great accessories
23,i can listen to my music wherever i want. i also like that it is durable/dropable.
24,supports standard for lossless compression which offers much higher fidelity.
25,very small and holds lots of songs
26,its great. i can share music with my friends and download tons of tunes off the internet.
27,I can listen to the old Ludwig Van without anyone interfering with my activities.
28,It offers lots of disk space for all of my CDs.
29,Always having a good collection of music at hand
30,It's portable and the device is well-designed.
31,Its portability enables me to listen to my music while I am milking cows and working in the fields.
32,it allows me to control all of my music.
33,It is better than having a lot of CDs in the car. I can hook this up to my stereo and get lots of tunes.
34,The ability to build a playlist is the best feature. There are times I like to mix and match my selections.
35,"small, easy to sync"
36,It has great sound quality. It also has capacity for all my music.
37,holds lots of music
38,batteries last a long time
39,Easy to download music and runs a long time without recharging.
40,tunes everywhere
41,It's easy to use.
42,The interface is incredibly easy to use.
43,it holds many songs
44,"It's not that great, really. What I like most about it is that it's NOT Product A!"
45,Everything!  Product A rules!  I can't wait to get a video one!
46,"Ability to carry large amounts of music in a small, lightweight device."
47,"I was worried I was too old for this new fang-dangled technology. But my nephew showed me around the farm, as it were, and it's not as hard to use as I thought it would be."
48,ease of use
49,"It has some DJ features like building track list, cross fading, etc. It's very durable also. A friend dropped it once and it still works perfectly."
50,portability
51,taking all my music everywhere
52,i have a Product A. i like the small size and good sound.
53,Convenience
54,"The ability to take my CD collection and have it in one simple, small, portable device."
55,I can store a lot of music on it.
56,"Small, light-weight, and easy to bring along."
57,"Drowns out train noise. Light and easy to carry and use, I don't have the patience to download music."
58,I can listen to the radio on it
59,It allows me the freedom to listen to my favorite music or programs on my terms. Makes my commute enjoyable.
60,Ability to carry a huge library of tunes aorund with me in something the size of a credit card.
61,"high quality, durable, good sound"
62,Looks cool.
63,it keeps playing. i don't have to stop and change a CD.
64,Portability and intuitive features of Product A
65,Music choice; lack of skipping (vs. CD players)
66,Convenience of storing all my music in one device
67,Durably constructed
68,Large storage capacity
69,Stores 5000 songs in a compact portable player.
70,small
71,"Ease of use, simple functionality, elegant design and that it holds a lot of music and goes anywhere I do, headphones, car, home stero, portable speakers."
72,Portable and durable
73,its design is way cool
74,great quality
75,"Small size. It has 512Mb of add-on memory, so it is quick to load and play music. It can also encode directly from external devices from the radio or a CD player."
76,storage capacity
77,The software is very cool.
78,sleek design
79,I like that I can build a bank of music that suits my tastes and cut out all of the songs that often come on Cds along with the one song you like
80,Small
81,It's nice
82,"Small, handy device"
83,It's small & fits in your pocket.
84,"It's just great. I have all my music downloaded onto it now, so no need to find the CD I want to play etc. Really great."
85,"Good quality sound, easy to carry"
86,Handy
87,Its great look and easy to use interface
88,"Easy to use. Has a big screen. Software is easy to use, organizes folders in trees so you can open to investigate or close to save space. 20 GB hard drive."
89,Small but lots of space (60 GB). Video is a bit of a toy but cool.
90,the colour and size
91,"As well as being able to listen to music, can watch movies, surf internet, etc."
92,"Because it is also an organiser, I always carry it with me."
93,It's a portable music device
94,Long battery life. Also when you turn it on it picks up where you left off.
95,It's beautiful.
96,its tiny and can hold lots of songs and photos
97,It's very small.
98,"Big storage capacity, also does video"
99,stores 2 days worth of music
100,Long battery life. Good sound quality.
101,It's portable.
102,The size and the fact that it has an included FM radio
103,Its good looking and easy to use
104,Easy to organise my music files. Good battery life.
105,Small and easy to use
106,Its so small and cute
107,It is portable.
108,"It's well designed, light and very easy to use."
109,I can always bring it with me. The sound quality is very good.
110,"It's lightweight, the battery life is very good, cool design."
111,"It is compact, tidy and easy to use"
112,Not a lot.  I hardly use it.
113,It's portable
114,Large storage capacity and a good LCD screen for viewing digital photos
115,It was a freebie!
116,Ease of use. Looks good. Compatible with car stereo.
117,Listening to any songs I like any time I like.
118,"I can listen to where ever I am, I don't have to worry about which Cd to take etc have all my music on it so listen to what I like when I like. Also I like the fact that I can plug it into speakers."
119,It looks good and is very easy to use
120,The sound quality and the ability to record and mix my own play lists.
121,Storage capacity (40GB)
122,Compact and waterproof
123,It's sound
124,size and accessories
125,it was free
126,It's so easy to find the music I like.
127,It's tough.
128,It's small and holds all of my music.
129,size
130,Ease of use and portability.
131,size
132,size
133,I like the small size of the device. It allows me to keep it in a pocket while I use it so that I don't have to hold it like I would a larger device.
134,The compact design
135,How easy it was to use
136,The amount of music files it holds
137,The size
138,The sound quality
139,I love it. I can listen to old heavy metal and new metal and alternative. Its batteries last for days.
140,"Controls are easy to understand and use. It's a well-designed, well-built unit."
141,portability
142,"Easy to carry, and its size."
143,its cost
144,The size makes it convenient to carry around.
145,Listening while traveling to drown out the noise of crying kids!
146,"It has a lot of storage capacity. I can fit a lot of songs on it. Also, it's very lightweight."
147,"I like the skip-free playback. Also, dragging and dropping songs. It's better than a ""real"" stereo."
148,"The online store is great. Also, sound quality is excellent."
149,My son bought it for me for my birthday. I feel pretty hip. I like to listen to Mozart when I'm gardening. I love it's light weight. And the design is so sleek!
150,It was cheaper than the overrated Product A.
151,"This has 256MB of memory; it holds about 50 songs. I've got another chip in my bag with another 50 songs on it. The cool thing about this is, it cost $200 plus $60 for a portable keyboard, and I can run other programs, take notes, as well as listen to music. If I wanted to, I could surf the Web and get e-mail. For a while I even had music videos on it!"
152,its small
153,"Product A is fantastic. Really sharp design. Headphones are great too, not like the old in-the-ear types that always fell out. Sound quality seems good as well."
154,I like that it's light. I use it while commuting and when running. I really like the random play option.
155,small size and ease of use
156,you can take it everywhere
157,huge selection of music at my fingertips when traveling. like bringing your whole stereo with you
158,I like that it's small and I can take it anywhere with me. Also that it holds so many songs. I currently have almost 500.
159,"i can listen to whatever i want, whenever i want to."
160,It's actually my son's but I use when I exercise. I like that it's so slim and lightweight. It's pretty too.
161,Product A is the best. Drag & drop songs from their site is really easy and I love all the random play options. Like the long battery life.
162,Convenience. Easy to use; I'm a technophobe!
163,It's totally smooth. Much better than Product A. I love cranking it up and tuning everyone else out on the train.
164,It was much more affordable than Product A.
165,"convience, size"
166,good sound quality
167,amount of tunes it holds
168,"it like has all of my songs. i mean all of them, and it still has room for like a gazillion more"
169,Well obviously the portability. I love the fact that I can have all my CD collection on the one small device that I can take with me where ever I go. I also like the fact that the battery lasts so long which makes it great for those long plane flights. Its also very easy to copy music from CD to the device.
170,The color. It's purple which is my favourite color. I also like the accessories you can buy for it.
171,It holds all 6 of my Classical music CD's.
172,it is portable and compact. No CDs required any longer
173,user friendliness
174,practical and fancy!
175,music in a single place
176,Size. Weight. Simplicity. Connects directly to the laptop to download songs
177,Ease of Use
178,it has never let me down. has loud volume for my ageing ears.
179,"room for lots of songs, sleek design, software for managing the music on your PC is the best"
180,40 gig
181,It has really good sound; not the really bad sound I experienced with Product A. I know people think Product A is really cool but I have been so much happier with the design of Product D.
182,Quality sound
183,I can listen anywhere and I can plug into my speaker system. It is small and i can play music during dinner with friends without having a huge sound system in my dining room.
184,Not having to drag my CDs around with me
185,"The size. It can take a beating and any jarring won't make the music skip at all. Also, it is small enough to wear around my neck. All of this translates to making exercising and jogging with it easier."
186,Great sound quality
187,"It's way cool, the teacher can't even see the headphone cable."
188,The photo feature. I can see my slideshows on it.
189,"It gives me time to collect my thoughts and escape some of the stress from the day.  While riding the train, it allows me to sit back and relax and transition to home life."
190,easy to transport
191,I don't have to carry around CDs.
192,It has a catchy beat an is easy to dance to.
193,"Ease of use, design"
194,Capacity
195,It was cheap
196,Small
197,the sound quality is killer and it holds all of my CDs.
198,I like it because I can hear the music clearly.
199,The playlist feature so I can make my own playlists for our bashes.
200,Its pretty green color.
201,It rocks. I can download music from the internet.
202,It's analog
203,Sound quality
204,I can load all my favorites and never run out of music. Since it has so much space I can load new tunes without having to remove some of my previous music. I have my whole library of music with me at all times.
205,It holds all of my music and it is small.
206,easy to transport all my music
207,The design
208,"It is small, lightweight and easy to carry"
209,I like how easily it fits into my purse or pocket
210,I can put all of my music on it.
211,The sound
212,good mobillity
213,Its compact size
214,It is reliable.
215,"I was given it as a present, so I just like it."
216,Good Design. Easy to use.
217,All of my music fits on it.
218,"capacity to hold a lot of music, ease of use, cool earbud"
219,It fits comfortably in the palm of my hand
220,I use it when I work around the house to listen to Frank and Dean when I can.
221,Makes me feel young again!
222,It is small and light so I forget I'm carrying it.
223,storage capacity
224,The compact design of the device and the software was very user friendly and easy to install
225,that it is portable
226,its cool
227,It's small but holds lots of music
228,large storage capacity
229,"Well-made, good sound."
230,I can wear it while I am exercising because it is so small.
231,"It can hold all of my child's music. Where ever we are, when my son gets cranky, I can pull it out and in no time he is chilled out."
232,"inexpensive, has FM radio"
233,It's small and light
234,Handy
235,Handy for listening to music on the way to work.
236,I can take it anywhere I like
237,I can edit the playlist
238,Style and ease of use
239,small size and large capacity
240,headphones are good lost of songs
241,"small, long battery life, and good sound"
242,can store lots of songs
243,Its size.
244,it is easy to use and I like the look of it.
245,Multiple formats. Big hard disk. Good battery life and recharge speed. Good download speed.
246,It holds lots of songs
247,it's blue
248,I can understand how to use it.
249,"small, multi purpose, easy to use"
250,small enough to use anywhere
251,incredibly small
252,we can use it everywhere
253,great sound
254,Nothing special. It does everything well.
255,"It's multi-purpose. Also it's easy to change music. When plugged into the adapter, the memory card looks like another hard drive."
256,looks nice
257,Its size means I don't have to listen to the teachers.
258,Small size; large capacity; easy to use
259,Its size means I can listen to it while working.
260,I find it very convenient and simple to use.
